month_key,country_key,qualityoflife_key,unemployment_rate,unemployment_rate_male,unemployment_rate_female,suicide_rate,suicide_rate_male,suicide_rate_female,sanitation_access,sanitation_access_urban,sanitation_access_rural,drinking_water_access,drinking_water_access_urban,drinking_water_access_rural,open_defecation_practice,death_probability_0509,death_probability_1014,death_probability_1519,death_probability_2024,catastrophic_health_expenditure_risk
106,3,490,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
107,3,491,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
108,3,492,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
109,3,493,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
110,3,494,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
111,3,495,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
112,3,496,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
113,3,497,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
114,3,498,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
115,3,499,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
116,3,500,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
117,3,501,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
118,3,502,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
119,3,503,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
120,3,504,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
121,3,505,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
122,3,506,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
123,3,507,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
124,3,508,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
125,3,509,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
126,3,510,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
127,3,511,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
128,3,512,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
129,3,513,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
130,3,514,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
131,3,515,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
132,3,516,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
133,3,517,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
134,3,518,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
135,3,519,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
136,3,520,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
137,3,521,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
138,3,522,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
139,3,523,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
140,3,524,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
141,3,525,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
142,3,526,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
143,3,527,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
144,3,528,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
145,3,529,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
146,3,530,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
147,3,531,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
148,3,532,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
149,3,533,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
150,3,534,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
151,3,535,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
152,3,536,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
153,3,537,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
154,3,538,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
155,3,539,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
156,3,540,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
157,3,541,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
158,3,542,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
159,3,543,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
160,3,544,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
161,3,545,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
162,3,546,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
163,3,547,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
164,3,548,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
165,3,549,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
166,3,550,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
167,3,551,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
