month_key,country_key,population_key,p_male,p_female,p_rural,p_growth_urban,p_growth_rural,p_0004_male,p_0004_female,p_0509_male,p_0509_female,p_1014_male,p_1014_female,p_1519_male,p_1519_female,p_2024_male,p_2024_female,p_2529_male,p_2529_female,p_3034_male,p_3034_female,p_3539_male,p_3539_female,p_4044_male,p_4044_female,p_4549_male,p_4549_female,p_5054_male,p_5054_female,p_5559_male,p_5559_female,p_6064_male,p_6064_female,p_6569_male,p_6569_female,p_7074_male,p_7074_female,p_7579_male,p_7579_female,p_80UP_male,p_80UP_female
105,2,297,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
106,2,298,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
107,2,299,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
108,2,300,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
109,2,301,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
110,2,302,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
111,2,303,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
112,2,304,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
113,2,305,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
114,2,306,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
