year_code,country_code,qualityoflife_key,unemployment_rate,unemployment_rate_male,unemployment_rate_female,suicide_rate,suicide_rate_male,suicide_rate_female,sanitation_access,sanitation_access_urban,sanitation_access_rural,drinking_water_access,drinking_water_access_urban,drinking_water_access_rural,open_defecation_practice,death_probability_0509,death_probability_1014,death_probability_1519,death_probability_2024,catastrophic_health_expenditure_risk
2011,4,55,12.45,10.71,20.58,6.8,9.2,4.3,85.92104068,91.0445675,73.25454252,96.2006052,98.37318019,90.82951646,0.437827971,2.6,2.6,5.1,7,43
2012,4,56,12.63,10.98,20.62,6.7,9.4,4.1,86.56428183,91.36200823,74.37590136,96.35822831,98.40332536,91.16276301,0.430094117,2.5,2.5,4.8,6.5,41.4
2013,4,57,10.44,8.59,19.75,6.6,9.4,3.8,87.19617339,91.67944897,75.4972602,96.51144689,98.43347053,91.49600955,0.42256919,2.3,2.4,4.6,6,36.3
2014,4,58,10.57,8.81,19.76,6.5,9.3,3.6,87.81861536,91.99688971,76.61861905,96.66106245,98.4636157,91.8292561,0.415113999,2.2,2.2,4.4,5.7,29.3
2015,4,59,11.06,9.3,19.49,6.3,9.3,3.3,88.43143149,92.31433045,77.73997789,96.80698708,98.49376087,92.16250265,0.407756265,2.1,2.1,4.4,5.5,30.8
2016,4,60,12.43,10.5,20.76,6.2,9.2,3.2,89.03493135,92.63177118,78.86133673,96.94934902,98.52390604,92.49574919,0.373516009,2,2,4.5,5.4,32.2
2017,4,61,12.1,10.18,19.87,6,9,3,89.51800312,92.8,79.98269558,97.08809582,98.55405121,92.82899574,0.36,1.9,1.9,4.6,5.4,30.7
2018,4,62,12.06,10.38,18.96,5.7,8.4,2.9,89.86408356,92.8,81.10405442,97.22317738,98.58419638,93.16224228,0.35,1.8,1.8,4.7,5.4,31.3
2019,4,63,11.14,9.46,18.12,5.2,7.7,2.8,90.19770214,92.8,82.22541326,97.35464541,98.61434155,93.49548883,0.34,1.7,1.8,4.7,5.3,31.3
2020,4,64,10.96,9.46,18.12,5.2,7.7,2.8,90.26676799,92.8,82.3,97.48263633,98.64448672,93.82873538,0.33,1.7,1.8,4.7,5.3,30.2
2005,5,65,4.5,4.98,3.91,12.9,13.8,11.9,66.05295978,82.07735731,53.95381219,84.57435729,98.20965513,74.27908842,1.784571234,1.8,1.5,2.5,3.1,62.5
2006,5,66,4.4,4.87,3.82,12.1,13,11.2,68.04807496,82.92746671,56.18866912,85.43458456,98.14091735,75.30718421,1.639913195,1.7,1.4,2.3,3.1,57.3
2007,5,67,4.3,4.76,3.73,11.5,12.5,10.4,70.00602318,83.78081881,58.42730796,86.26131924,98.07212127,76.33348314,1.51021407,1.6,1.4,2.2,3,52.1
2008,5,68,4.6,5.09,3.99,11.1,12.3,9.8,71.93309059,84.63741362,60.66972871,87.06001859,98.0032669,77.35798522,1.385771621,2,1.8,2.4,3.2,44.9
2009,5,69,4.7,5.2,4.08,10.7,12,9.3,73.82713823,85.49725112,62.91593138,87.82894559,97.93435423,78.38069045,1.266814857,1.4,1.3,2,2.9,38.4
2010,5,70,4.5,4.97,3.9,10.2,11.7,8.7,75.68896974,86.36033133,65.16591597,88.56889093,97.86538326,79.40159883,1.153266004,1.3,1.2,1.9,2.8,34.3
2011,5,71,4.5,4.97,3.9,9.6,11,8.1,77.50550515,87.22665424,67.41968247,89.26848693,97.796354,80.42071035,1.046346738,1.3,1.2,1.8,2.8,27.4
2012,5,72,4.6,5.08,3.99,9,10.5,7.4,79.28464962,88.09621985,69.67723088,89.93455887,97.72726644,81.43802502,0.945203269,1.2,1.2,1.7,2.7,25.6
2013,5,73,4.6,5.08,3.99,8.6,10.1,7,81.03184692,88.96902816,71.93856121,90.57190917,97.65812058,82.45354284,0.84929552,1.2,1.1,1.6,2.7,18.9
2014,5,74,4.6,5.08,3.99,8.4,10,6.7,82.74794313,89.84507917,74.20367346,91.1813536,97.58891642,83.46726381,0.758538313,1.1,1.1,1.6,2.6,17.2
2015,5,75,4.6,5.08,3.99,8.1,9.8,6.4,84.43258668,90.72437289,76.47256762,91.76264123,97.51965397,84.47918792,0.672948193,1.1,1.1,1.5,2.6,13.3
2016,5,76,4.5,4.97,3.9,8.2,9.9,6.3,86.08596623,91.6069093,78.74524369,92.31599823,97.45033321,85.48931518,0.592493964,1,1,1.5,2.6,12.3
2017,5,77,4.4,4.86,3.81,8.1,9.9,6.3,87.70748822,92.49268842,81.02170168,92.84090791,97.38095417,86.49764558,0.517184618,1,1,1.4,2.5,11.2
2018,5,78,4.3,4.75,3.72,8.1,9.9,6.3,89.29564155,93.38171024,83.30194159,93.33588436,97.31151682,87.50417914,0.447021569,1,1,1.4,2.5,9.5
2019,5,79,4.6,5.08,3.98,8.1,9.8,6.2,90.85138344,94.27397476,85.58596341,93.81326727,97.21319974,88.58270632,0.381815138,0.9,1,1.3,2.5,8
2020,5,80,5,5.08,3.98,8.1,9.8,6.2,92.37617808,95.16948199,87.87376715,94.26111059,97.11488267,89.66123351,0.321344479,0.9,1,1.3,2.5,7.8
2005,6,81,8.27,7.87,9.74,2.7,3.4,1.9,80.85126446,,,87.6600419,,,0.079550152,1.5,1.4,3,3.6,
2006,6,82,8.62,8.27,9.88,2.5,3.1,1.8,82.16044277,,,88.01646996,,,0.083428127,1.8,2,3.9,5.2,
2007,6,83,8.98,8.63,10.18,2.9,3.7,1.9,83.46962108,,,88.37289802,,,0.087306101,1.3,1.3,2.8,3.4,
2008,6,84,7.45,6.59,10.36,2.9,3.9,1.9,84.7787994,,,88.72932608,,,0.091184076,1.3,1.3,2.9,3.6,
2009,6,85,6.36,5.08,10.52,3,4,1.9,86.08797771,,,89.08575414,,,0.095062051,1.2,1.2,2.7,3.3,
2010,6,86,6.4,5.1,10.54,3,4.1,1.9,87.39715602,,,89.4421822,,,0.098940025,1.2,1.2,2.6,3.2,
2011,6,87,6.39,5.13,10.41,3,4.1,1.9,88.70633434,,,89.79861027,,,0.102818,1.5,1.7,4.3,5.3,8.7
2012,6,88,6.4,5.11,10.47,3,4,1.8,90.01551265,,,90.15503833,,,0.106695975,1.1,1.1,2.9,3.5,5.9
2013,6,89,6.41,5.11,10.48,3,4.1,1.8,91.32469096,,,90.51146639,,,0.110573949,1.1,1.2,2.7,3.4,6
2014,6,90,6.35,5.07,10.37,2.8,3.8,1.8,92.63386927,,,90.86789445,,,0.114451924,1.1,1.2,2.7,3.4,7
2015,6,91,6.31,5.05,10.27,2.8,3.8,1.7,93.94304759,,,91.22432251,,,0.118329899,1.1,1.2,2.6,3.3,6.8
2016,6,92,6.26,5.01,10.18,2.7,3.7,1.7,95.2522259,,,91.58075057,,,0.122207873,1,1,2.5,3.1,5.9
2017,6,93,6.18,4.95,10,3,4.2,1.8,96.56140421,,,91.93717863,,,0.126085848,1,1.2,2.6,3.3,8
2018,6,94,6.1,4.88,9.86,2.5,3.4,1.6,97.87058253,,,92.29360669,,,0.129963823,0.9,1,2.3,2.8,7.4
2019,6,95,6.04,4.84,9.77,2.8,3.8,1.7,99.06737938,,,92.6,,,0,0.9,1,2.3,2.8,8
2020,6,96,6.61,4.84,9.77,2.8,3.8,1.7,99.2,,,92.6,,,0,0.9,1,2.3,2.8,0.9
