health_key,domestic_health_expenditure,num_hospital_beds,num_physicians,num_nurses,immunization_bcg,immunization_dpt,immunization_hepb,immunization_measles,immunization_polio,mort_infant,mort_infant_male,mort_infant_female,mort_non_communicable_disease,mort_non_communicable_disease_male,mort_non_communicable_disease_female,mort_unintentional_poison,mort_unintentional_poison_male,mort_unintentional_poison_female,mort_traffic_injury,mort_traffic_injury_male,mort_traffic_injury_female,mort_maternal,stillbirth_rate,fertility_rate
26,8.23691463,2.83,,,,95,92,92,93,5.9,6.4,5.3,13.9,16.7,11.2,0.4,0.6,0.3,11.3,16.2,6.6,16.0,3.001325827,1.8625
27,8.47222233,2.8,,,,95,92,92,93,5.8,6.3,5.3,13.9,16.7,11.2,0.4,0.6,0.3,12.1,17.3,7.0,18.0,3.019307588,1.8435
28,8.59051895,2.77,,,,95,93,92,94,5.8,6.3,5.2,14.0,16.8,11.3,0.5,0.7,0.3,12.9,18.4,7.5,19.0,3.033590135,1.8205
29,8.54503059,2.87,,14.5812,,95,93,92,94,5.7,6.2,5.2,13.8,16.5,11.1,0.5,0.7,0.3,12.8,18.3,7.4,19.0,3.032661543,1.7655
30,8.51236343,,2.6036,15.685,,94,91,92,93,5.6,6.1,5.1,13.6,16.3,11.1,0.5,0.7,0.3,12.6,17.8,7.4,,3.020889353,1.7295
31,8.548465,,,,,94,91,90,93,5.6,6.0,5.1,13.6,16.1,11.1,0.5,0.7,0.3,12.7,17.9,7.5,,3.002832799,1.705
32,8.555958,,,,,94,91,90,93,5.6,6.0,5.1,13.6,16.1,11.1,0.5,0.7,0.3,12.7,17.9,7.5,,3.002832799,1.705
33,2.46497631,1.05,3.5303,2.2053,99.0,98,98,96,98,19.4,21.4,17.3,16.7,17.8,15.7,0.8,1.1,0.4,15.6,25.1,6.6,54.0,7.953066409,2.495
34,2.4219811,1.02,3.762,2.2215,99.0,98,98,96,98,18.7,20.6,16.7,16.4,17.5,15.3,0.7,1.1,0.4,15.6,24.9,6.7,51.0,7.766411876,2.456
35,2.52675962,1.06,3.843,2.2832,99.0,98,98,96,98,18.1,19.9,16.1,16.1,17.5,14.8,0.7,1.0,0.4,14.1,22.5,6.0,49.0,7.600422447,2.421
36,2.61655498,1.03,3.8988,2.3066,99.0,96,97,96,96,17.5,19.3,15.6,16.4,17.9,15.0,0.6,0.8,0.4,15.4,24.9,6.3,49.0,7.511496149,2.391
37,2.86067677,1.02,3.9581,2.3624,99.0,95,95,96,95,16.9,18.6,15.1,16.1,17.6,14.7,0.5,0.7,0.3,15.8,25.5,6.6,51.0,7.423972857,2.364
38,2.90672731,1.05,3.9972,2.4118,98.0,95,93,95,95,16.4,18.0,14.7,15.9,17.5,14.5,0.5,0.8,0.3,14.5,23.3,6.1,46.0,7.303840805,2.34
39,2.92619133,1.04,4.2008,2.5093,99.0,97,98,98,97,15.9,17.4,14.2,15.4,17.0,13.9,0.6,0.8,0.4,14.4,23.4,5.7,43.0,7.17016945,2.317
40,3.01412058,1.03,4.2236,2.5488,99.0,99,99,99,99,15.3,16.8,13.8,15.5,17.2,13.9,0.5,0.7,0.3,14.6,23.4,6.1,41.0,7.011055327,2.294
41,3.1345408,1.03,4.311,2.8044,91.0,83,82,89,83,14.9,16.3,13.3,15.2,17.0,13.5,0.5,0.7,0.3,13.3,21.8,5.3,39.0,6.877614614,2.27
42,2.99792695,1.03,4.4526,2.6798,96.0,87,84,97,87,14.4,15.9,12.8,15.6,17.6,13.8,0.4,0.6,0.3,13.3,21.6,5.4,38.0,6.766902575,2.243
43,3.07731915,1.0,4.6493,2.4177,98.0,87,82,97,87,13.9,15.3,12.5,15.7,17.7,13.9,0.5,0.8,0.3,13.6,22.0,5.6,36.0,6.732511137,2.215
44,2.94219136,1.0,4.6488,2.5103,99.0,93,93,96,96,13.5,14.8,12.1,16.0,18.3,14.0,0.5,0.7,0.3,13.6,22.1,5.3,34.0,6.744038996,2.186
45,2.84291816,0.99,4.7654,2.5078,94.0,85,58,76,85,13.0,14.3,11.7,15.7,18.0,13.7,0.4,0.6,0.3,13.1,21.6,5.1,33.0,6.793529954,2.157
46,2.68957853,0.98,4.8496,3.149,96.0,88,55,97,88,12.6,13.9,11.3,15.6,17.9,13.6,0.4,0.6,0.3,13.0,21.0,5.3,,6.841535175,2.129
47,2.573,,,2.3646,76.0,82,56,73,82,12.2,13.4,10.9,15.6,18.0,13.5,0.4,0.6,0.3,12.8,20.6,5.3,,6.813899243,2.103
48,2.4468,,,2.3646,76.0,82,56,73,82,12.2,13.4,10.9,15.6,18.0,13.5,0.4,0.6,0.3,12.8,20.6,5.3,,6.813899243,2.103
49,1.95624757,1.72,0.8869,1.4051,99.0,95,94,94,95,21.8,22.7,20.8,18.1,21.6,14.4,1.5,1.9,1.1,41.0,61.6,19.7,34.0,9.963546092,1.825
50,2.16664195,1.72,0.5361,1.689,99.0,98,98,99,99,20.7,21.6,19.7,17.6,21.1,13.9,1.5,1.9,1.1,40.3,60.5,19.5,32.0,9.667469022,1.812
51,2.00718665,1.72,,,99.0,99,97,97,98,19.6,20.5,18.7,17.1,20.6,13.4,1.6,2.0,1.1,33.1,49.7,16.1,30.0,9.361759081,1.807
52,1.95832741,1.38,,,99.0,99,99,98,99,18.6,19.5,17.7,16.6,20.0,12.9,1.5,1.9,1.0,33.4,50.0,16.4,28.0,9.070739548,1.811
53,2.40421844,1.38,,,99.0,99,99,99,99,17.7,18.5,16.8,16.1,19.5,12.6,1.4,1.9,1.0,32.5,48.6,16.1,25.0,8.754031766,1.821
54,2.18561411,1.74,,,99.0,99,99,99,99,16.9,17.7,16.0,15.5,18.7,12.3,1.4,1.9,0.9,32.5,48.5,16.2,22.0,8.439199225,1.839
55,2.20399976,1.74,,1.9971,99.0,99,99,99,99,16.1,16.9,15.3,15.3,18.3,12.2,1.4,1.9,0.9,27.7,41.4,13.8,19.0,8.193183732,1.866
56,2.27696061,1.5,,,99.0,99,98,98,99,15.5,16.2,14.7,15.3,18.3,12.2,1.3,1.8,0.8,26.1,39.0,12.8,18.0,7.948147946,1.901
57,2.3070972,1.5,,,99.0,98,99,98,98,14.9,15.6,14.1,15.3,18.2,12.3,1.2,1.7,0.8,24.3,36.4,11.9,17.0,7.738089222,1.945
58,3.48251414,1.5,1.5044,1.5641,99.0,99,99,99,99,14.3,15.1,13.6,15.3,18.2,12.3,1.1,1.6,0.7,22.5,33.7,10.9,17.0,7.56432535,1.993
59,4.04194069,1.5,1.1526,1.8907,99.0,98,98,99,98,13.8,14.5,13.1,15.4,18.3,12.4,1.1,1.5,0.6,21.8,32.8,10.5,17.0,7.353866108,2.041
